COUNTYNAME,DATETIME,DATE,LON,LAT,PK
Burlington,12/12/2013 1:29:38 PM,12/12/2013,-74.95454,39.92718,732
Camden,6/20/2013 2:03:58 PM,6/20/2013,-75.12583,39.94295,733
Camden,9/2/2013 11:41:16 AM,9/2/2013,-74.92765,39.82662,734
Atlantic,3/31/2013 3:10:26 PM,3/31/2013,-74.42484,39.36348,735
Burlington,3/31/2013 4:14:42 PM,3/31/2013,-74.99307,39.96209,736
Camden,2/11/2013 6:22:33 PM,2/11/2013,-75.02837,39.94564,737
Camden,8/15/2013 2:24:56 PM,8/15/2013,-75.04457,39.92745,738
Atlantic,1/1/2014 1:37:14 PM,1/1/2014,-74.44025,39.36203,739
Camden,8/6/2013 9:32:40 PM,8/6/2013,-75.02282,39.98858,740
Burlington,3/22/2013 5:30:10 PM,3/22/2013,-75.03589,40.0002,741
Camden,10/14/2013 2:20:33 PM,10/14/2013,-74.9255,39.83742,742
Camden,10/14/2013 2:33:01 PM,10/14/2013,-74.93132,39.80725,743
Burlington,10/14/2013 8:39:35 PM,10/14/2013,-74.94273,39.91378,744
Camden,1/25/2014 2:51:15 PM,1/25/2014,-75.02868,39.9448,745
Camden,9/2/2013 11:41:22 AM,9/2/2013,-74.92785,39.82572,746
Camden,5/12/2013 9:06:25 PM,5/12/2013,-74.93166,39.80352,747
Atlantic,3/31/2013 3:08:50 PM,3/31/2013,-74.42093,39.36403,748
Camden,12/12/2013 1:41:51 PM,12/12/2013,-74.92261,39.85035,749
Burlington,2/14/2013 12:53:52 PM,2/14/2013,-74.9558,39.92806,750
Burlington,8/6/2013 12:03:40 PM,8/6/2013,-74.92374,39.88801,751
Atlantic,3/31/2013 3:13:50 PM,3/31/2013,-74.43466,39.35941,752
Burlington,1/25/2014 2:41:23 PM,1/25/2014,-75.03696,40.00273,753
Atlantic,3/31/2013 3:13:13 PM,3/31/2013,-74.43402,39.35969,754
Camden,12/27/2013 6:36:40 PM,12/27/2013,-75.03071,39.93537,755
Atlantic,1/1/2014 4:50:38 AM,1/1/2014,-74.43516,39.35934,756
Burlington,12/31/2013 5:41:52 PM,12/31/2013,-74.97079,39.93803,757
Camden,5/12/2013 12:29:00 PM,5/12/2013,-74.93065,39.81276,758
Camden,2/11/2013 6:22:07 PM,2/11/2013,-75.02806,39.94419,759
Atlantic,3/31/2013 3:08:40 PM,3/31/2013,-74.42053,39.36395,760
Burlington,2/14/2013 12:59:35 PM,2/14/2013,-74.94343,39.91484,761
Camden,5/12/2013 9:28:38 PM,5/12/2013,-75.02252,39.98841,762
Atlantic,2/14/2013 2:12:52 PM,2/14/2013,-74.43281,39.35743,763
Burlington,11/28/2013 9:20:37 PM,11/28/2013,-75.03797,40.00641,764
